epoch: 1, lr: 1.00e-03 - train loss: 9.00 - valid loss: 8.83, valid ErrorRate: 4.17e-01
epoch: 2, lr: 9.53e-04 - train loss: 7.70 - valid loss: 8.81, valid ErrorRate: 5.00e-01
epoch: 3, lr: 9.05e-04 - train loss: 5.59 - valid loss: 8.84, valid ErrorRate: 1.00e+00
epoch: 4, lr: 8.58e-04 - train loss: 4.16 - valid loss: 8.62, valid ErrorRate: 4.17e-01
epoch: 5, lr: 8.11e-04 - train loss: 3.05 - valid loss: 8.53, valid ErrorRate: 4.17e-01
epoch: 6, lr: 7.63e-04 - train loss: 2.08 - valid loss: 8.46, valid ErrorRate: 5.83e-01
epoch: 7, lr: 7.16e-04 - train loss: 1.36 - valid loss: 7.91, valid ErrorRate: 3.33e-01
epoch: 8, lr: 6.68e-04 - train loss: 1.43 - valid loss: 7.96, valid ErrorRate: 8.33e-02
epoch: 9, lr: 6.21e-04 - train loss: 1.20 - valid loss: 7.44, valid ErrorRate: 0.00e+00
epoch: 10, lr: 5.74e-04 - train loss: 7.66e-01 - valid loss: 6.65, valid ErrorRate: 0.00e+00
epoch: 11, lr: 5.26e-04 - train loss: 6.10e-01 - valid loss: 6.14, valid ErrorRate: 0.00e+00
epoch: 12, lr: 4.79e-04 - train loss: 7.46e-01 - valid loss: 5.60, valid ErrorRate: 0.00e+00
epoch: 13, lr: 4.32e-04 - train loss: 5.10e-01 - valid loss: 4.92, valid ErrorRate: 0.00e+00
epoch: 14, lr: 3.84e-04 - train loss: 3.13e-01 - valid loss: 4.89, valid ErrorRate: 0.00e+00
epoch: 15, lr: 3.37e-04 - train loss: 3.34e-01 - valid loss: 4.03, valid ErrorRate: 0.00e+00
epoch: 16, lr: 2.89e-04 - train loss: 3.03e-01 - valid loss: 4.19, valid ErrorRate: 0.00e+00
epoch: 17, lr: 2.42e-04 - train loss: 1.91e-01 - valid loss: 3.35, valid ErrorRate: 0.00e+00
epoch: 18, lr: 1.95e-04 - train loss: 2.17e-01 - valid loss: 3.12, valid ErrorRate: 0.00e+00
epoch: 19, lr: 1.47e-04 - train loss: 1.76e-01 - valid loss: 2.61, valid ErrorRate: 0.00e+00
epoch: 20, lr: 1.00e-04 - train loss: 1.40e-01 - valid loss: 2.41, valid ErrorRate: 0.00e+00
